ticker,name,short_name,aliases,industry,market
1339,昭輝實業股份有限公司,昭輝,昭輝實業股份有限公司|昭輝|Y.C.C.,汽車工業,上市
1340,勝悅新材料有限公司,勝悅-KY,勝悅新材料有限公司|勝悅-KY|VICTORY,塑膠工業,上市
1341,富林塑膠工業(開曼)控股(股)公司,富林-KY,富林塑膠工業(開曼)控股(股)公司|富林-KY|FULIN-KY,塑膠工業,上市
1342,八貫企業股份有限公司,八貫,八貫企業股份有限公司|八貫|CCI Yilan,其他,上市
1343,旭東環保科技股份有限公司,旭東環保,旭東環保科技股份有限公司|旭東環保|SUN RISE,綠能環保,上市
1402,遠東新世紀股份有限公司,遠東新,遠東新世紀股份有限公司|遠東新|FENC,紡織纖維,上市
1409,新光合成纖維股份有限公司,新纖,新光合成纖維股份有限公司|新纖|SSFC,紡織纖維,上市
1410,南洋染整股份有限公司,南染,南洋染整股份有限公司|南染|NYDF,紡織纖維,上市
1413,宏洲纖維工業股份有限公司,宏洲,宏洲纖維工業股份有限公司|宏洲|H.C.,紡織纖維,上市
1414,東和紡織股份有限公司,東和,東和紡織股份有限公司|東和|TUNG HO,紡織纖維,上市
1416,廣豐實業股份有限公司,廣豐,廣豐實業股份有限公司|廣豐|KFIC,其他,上市
1417,嘉裕股份有限公司,嘉裕,嘉裕股份有限公司|嘉裕|CARNIVAL,紡織纖維,上市
1418,東華龍股份有限公司,東華,東華龍股份有限公司|東華|TongHwa,紡織纖維,上市
1419,新光紡織股份有限公司,新紡,新光紡織股份有限公司|新紡|SHINKO.TEXTILE,紡織纖維,上市
1423,利華羊毛工業股份有限公司,利華,利華羊毛工業股份有限公司|利華|REWARD WOOL,紡織纖維,上市
1432,大魯閣實業股份有限公司,大魯閣,大魯閣實業股份有限公司|大魯閣|TAROKO,運動休閒,上市
1434,福懋興業股份有限公司,福懋,福懋興業股份有限公司|福懋|F.T.C,紡織纖維,上市
1435,中福國際(股)公司,中福,中福國際(股)公司|中福|C.F.CORP.,其他,上市
1436,華友聯開發股份有限公司,華友聯,華友聯開發股份有限公司|華友聯|HUA YU LIEN,建材營造,上市
1437,勤益投資控股股份有限公司,勤益控,勤益投資控股股份有限公司|勤益控|GTM,其他,上市
1438,三地開發地產股份有限公司,三地開發,三地開發地產股份有限公司|三地開發|SanDi,建材營造,上市
1439,雋揚國際股份有限公司,雋揚,雋揚國際股份有限公司|雋揚|ASCENT,建材營造,上市
1440,臺南紡織股份有限公司,南紡,臺南紡織股份有限公司|南紡|TAINAN SPINNING,紡織纖維,上市
1441,大東紡織股份有限公司,大東,大東紡織股份有限公司|大東|TAH TONG,紡織纖維,上市
1442,名軒開發股份有限公司,名軒,名軒開發股份有限公司|名軒|ADVANCETEK,建材營造,上市
1443,立益物流開發股份有限公司,立益物流,立益物流開發股份有限公司|立益物流|LILYTEXTILE,其他,上市
1444,力麗企業股份有限公司,力麗,力麗企業股份有限公司|力麗|LEALEA,紡織纖維,上市
1445,大宇紡織股份有限公司,大宇,大宇紡織股份有限公司|大宇|UNIVERSAL,紡織纖維,上市
1446,宏和精密紡織股份有限公司,宏和,宏和精密紡織股份有限公司|宏和|HONG HO,紡織纖維,上市
1447,力鵬企業股份有限公司,力鵬,力鵬企業股份有限公司|力鵬|LP,紡織纖維,上市
1449,佳和實業股份有限公司,佳和,佳和實業股份有限公司|佳和|CHIA HER,紡織纖維,上市
1451,年興紡織股份有限公司,年興,年興紡織股份有限公司|年興|NIEN HSING,紡織纖維,上市
1452,宏益纖維工業股份有限公司,宏益,宏益纖維工業股份有限公司|宏益|HONG YI,紡織纖維,上市
1453,大將開發股份有限公司,大將,大將開發股份有限公司|大將|TA  JIANG,建材營造,上市
1454,台灣富綢纖維股份有限公司,台富,台灣富綢纖維股份有限公司|台富|TTF,紡織纖維,上市
1455,集盛實業股份有限公司,集盛,集盛實業股份有限公司|集盛|ZIG SHENG,紡織纖維,上市
1456,怡華實業股份有限公司,怡華,怡華實業股份有限公司|怡華|I-HWA,建材營造,上市
1457,宜進實業股份有限公司,宜進,宜進實業股份有限公司|宜進|YI JINN,紡織纖維,上市
1459,聯發紡織纖維股份有限公司,聯發,聯發紡織纖維股份有限公司|聯發|LAN FA,紡織纖維,上市
1460,宏遠興業股份有限公司,宏遠,宏遠興業股份有限公司|宏遠|EVEREST,紡織纖維,上市
1463,強盛新投資控股股份有限公司,強盛新,強盛新投資控股股份有限公司|強盛新|CSG,紡織纖維,上市
1464,得力實業股份有限公司,得力,得力實業股份有限公司|得力|DE LICACY,紡織纖維,上市
1465,偉全實業股份有限公司,偉全,偉全實業股份有限公司|偉全|WISHER,紡織纖維,上市
1466,聚隆纖維股份有限公司,聚隆,聚隆纖維股份有限公司|聚隆|Acelon,紡織纖維,上市
1467,南緯實業股份有限公司,南緯,南緯實業股份有限公司|南緯|TEX-RAY,紡織纖維,上市
1468,昶和纖維興業股份有限公司,昶和,昶和纖維興業股份有限公司|昶和|CHANG HO,紡織纖維,上市
1470,大統新創股份有限公司,大統新創,大統新創股份有限公司|大統新創|EVERTEX,紡織纖維,上市
1471,首利實業股份有限公司,首利,首利實業股份有限公司|首利|SL,電子零組件業,上市
1472,三洋實業股份有限公司,三洋實業,三洋實業股份有限公司|三洋實業|TRIOCEAN,建材營造,上市
1473,台南企業股份有限公司,台南,台南企業股份有限公司|台南|TAINAN,紡織纖維,上市
1474,弘裕企業股份有限公司,弘裕,弘裕企業股份有限公司|弘裕|HONMYUE,紡織纖維,上市
1475,台灣業旺股份有限公司,業旺,台灣業旺股份有限公司|業旺|BIG SUNSHINE,紡織纖維,上市
1476,儒鴻企業股份有限公司,儒鴻,儒鴻企業股份有限公司|儒鴻|ECLAT,紡織纖維,上市
1477,聚陽實業股份有限公司,聚陽,聚陽實業股份有限公司|聚陽|Makalot,紡織纖維,上市
1480,東盟開發實業股份有限公司,東盟開發,東盟開發實業股份有限公司|東盟開發|TM,鋼鐵工業,上市
1503,士林電機廠股份有限公司,士電,士林電機廠股份有限公司|士電|SEEC,電機機械,上市
1504,東元電機股份有限公司,東元,東元電機股份有限公司|東元|TECO,電機機械,上市
1506,正道工業股份有限公司,正道,正道工業股份有限公司|正道|RIGHT WAY,電機機械,上市
1512,瑞利企業股份有限公司,瑞利,瑞利企業股份有限公司|瑞利|JL,汽車工業,上市
1513,中興電工機械股份有限公司,中興電,中興電工機械股份有限公司|中興電|CHEM,電機機械,上市
1514,亞力電機股份有限公司,亞力,亞力電機股份有限公司|亞力|AEC,電機機械,上市
1515,力山工業股份有限公司,力山,力山工業股份有限公司|力山|REXON,電機機械,上市
1516,川飛能源股份有限公司,川飛,川飛能源股份有限公司|川飛|FALCON,其他,上市
1517,利奇機械工業股份有限公司,利奇,利奇機械工業股份有限公司|利奇|Lee Chi,電機機械,上市
1519,華城電機股份有限公司,華城,華城電機股份有限公司|華城|FE,電機機械,上市
1521,大億交通工業製造股份有限公司,大億,大億交通工業製造股份有限公司|大億|TA YIH,汽車工業,上市
1522,堤維西交通工業股份有限公司,堤維西,堤維西交通工業股份有限公司|堤維西|TYC,汽車工業,上市
1524,耿鼎企業股份有限公司,耿鼎,耿鼎企業股份有限公司|耿鼎|GORDON,汽車工業,上市
1525,江申工業股份有限公司,江申,江申工業股份有限公司|江申|KSC,汽車工業,上市
1526,日馳企業股份有限公司,日馳,日馳企業股份有限公司|日馳|SUNRACE,電機機械,上市
1527,鑽全實業股份有限公司,鑽全,鑽全實業股份有限公司|鑽全|BASSO,電機機械,上市
1528,恩德科技股份有限公司,恩德,恩德科技股份有限公司|恩德|ANDERSON,電機機械,上市
1529,樂事綠能科技股份有限公司,樂事綠能,樂事綠能科技股份有限公司|樂事綠能|LUXE,電機機械,上市
1530,亞崴機電股份有限公司,亞崴,亞崴機電股份有限公司|亞崴|AWEA,電機機械,上市
1531,高林股份有限公司,高林股,高林股份有限公司|高林股|KAULIN,電機機械,上市
1532,勤美股份有限公司,勤美,勤美股份有限公司|勤美|CMP,電機機械,上市
1533,車王電子股份有限公司,車王電,車王電子股份有限公司|車王電|MORE,汽車工業,上市
1535,中宇環保工程股份有限公司,中宇,中宇環保工程股份有限公司|中宇|CEC,電機機械,上市
1536,和大工業股份有限公司,和大,和大工業股份有限公司|和大|HOTA,汽車工業,上市
1537,廣隆光電科技股份有限公司,廣隆,廣隆光電科技股份有限公司|廣隆|KUNG LONG,電機機械,上市
1538,正峰工業股份有限公司,正峰,正峰工業股份有限公司|正峰|JF,電機機械,上市
1539,巨庭機械股份有限公司,巨庭,巨庭機械股份有限公司|巨庭|GT,電機機械,上市
1540,喬福機械工業股份有限公司,喬福,喬福機械工業股份有限公司|喬福|ROUNDTOP,電機機械,上市
1541,錩泰工業股份有限公司,錩泰,錩泰工業股份有限公司|錩泰|Chang Type,電機機械,上市
1558,伸興工業股份有限公司,伸興,伸興工業股份有限公司|伸興|ZENG HSING,電機機械,上市
1560,中國砂輪企業股份有限公司,中砂,中國砂輪企業股份有限公司|中砂|KINIK,電機機械,上市
1563,巧新科技工業股份有限公司,巧新,巧新科技工業股份有限公司|巧新|SAI,汽車工業,上市
1565,精華光學股份有限公司,精華,精華光學股份有限公司|精華|St.Shine,生技醫療業,上櫃
1568,倉佑實業股份有限公司,倉佑,倉佑實業股份有限公司|倉佑|T.Y.,汽車工業,上市
1569,濱川企業股份有限公司,濱川,濱川企業股份有限公司|濱川|Bin Chuan,電腦及週邊設備業,上櫃
1570,力肯實業股份有限公司,力肯,力肯實業股份有限公司|力肯|De Poan,電機機械,上櫃
1580,新麥企業股份有限公司,新麥,新麥企業股份有限公司|新麥|SINMAG,電機機械,上櫃
1582,信錦企業股份有限公司,信錦,信錦企業股份有限公司|信錦|SYNCMOLD,電子零組件業,上市
1583,程泰機械股份有限公司,程泰,程泰機械股份有限公司|程泰|GOODWAY,電機機械,上市
1584,精剛精密科技股份有限公司,精剛,精剛精密科技股份有限公司|精剛|STC,其他,上櫃
1586,和勤精機股份有限公司,和勤,和勤精機股份有限公司|和勤|CFTC,電機機械,上櫃
1587,吉茂精密股份有限公司,吉茂,吉茂精密股份有限公司|吉茂|CM,汽車工業,上市
1589,永冠能源科技集團有限公司,永冠-KY,永冠能源科技集團有限公司|永冠-KY|YGG,電機機械,上市
1590,亞德客國際集團,亞德客-KY,亞德客國際集團|亞德客-KY|AIRTAC,電機機械,上市
1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY,英屬開曼群島商駿吉控股(股)公司|駿吉-KY|INMAX,電機機械,上櫃
1593,祺驊股份有限公司,祺驊,祺驊股份有限公司|祺驊|CHI HUA,運動休閒,上櫃
